SRR28578485     0.015350
SRR28578484     -0.152834
SRR28578303     0.375435
SRR28578326     1.756401
SRR28578283     -0.186121
SRR28578272     -0.558678
SRR28578261     -0.182508
SRR28578218     0.746364
SRR28578207     2.460086
SRR28578196     -0.898288
SRR28578483     0.104167
SRR28578472     0.238934
SRR28578461     2.620617
SRR28578450     -0.266697
SRR28578439     0.909209
SRR28578428     1.094817
SRR28578379     0.934180
SRR28578368     1.531665
SRR28578357     0.916640
SRR28578314     0.162970
SRR28578302     0.111847
SRR28578291     -0.180896
SRR28578248     -0.133922
SRR28578237     2.122005
SRR28578226     0.372227
SRR28578413     1.121698
SRR28578402     0.890496
SRR28578391     3.474425
SRR28578342     0.642844
SRR28578331     0.407824
SRR28578325     0.373156
SRR28578324     0.927806
SRR28578323     0.729470
SRR28578322     0.338377
SRR28578321     0.197840
SRR28578320     1.624201
SRR28578287     1.752924
SRR28578286     -0.107463
SRR28578285     0.153756
SRR28578284     1.157363
SRR28578282     0.195271
SRR28578281     -0.800984
SRR28578280     2.397096
SRR28578279     0.026908
SRR28578278     0.737097
SRR28578277     0.057859
SRR28578276     0.129869
SRR28578275     0.428957
SRR28578274     1.413348
SRR28578273     0.611546
SRR28578271     0.627865
SRR28578270     -0.322823
SRR28578269     0.758957
SRR28578268     0.357164
SRR28578267     -0.733142
SRR28578266     1.235542
SRR28578265     -0.056784
SRR28578264     0.106163
SRR28578263     1.051545
SRR28578262     0.917527
SRR28578260     1.130876
SRR28578259     0.714086
SRR28578258     -0.236837
SRR28578257     0.540427
SRR28578256     0.869497
SRR28578223     1.313608
SRR28578222     1.517876
SRR28578221     0.283099
SRR28578220     1.079678
SRR28578219     0.825395
SRR28578217     -0.243878
SRR28578216     0.857042
SRR28578215     1.310794
SRR28578214     0.903592
SRR28578213     -0.052143
SRR28578212     0.940835
SRR28578211     1.669975
SRR28578210     1.514653
SRR28578209     1.089527
SRR28578208     0.918759
SRR28578206     -0.036818
SRR28578205     -0.581671
SRR28578204     2.168435
SRR28578203     0.040138
SRR28578202     -0.115942
SRR28578201     0.399634
SRR28578200     0.193508
SRR28578199     -0.526991
SRR28578198     -0.022578
SRR28578197     0.903969
SRR28578195     1.643454
SRR28578194     -0.389796
SRR28578193     -0.526194
SRR28578192     1.129792
SRR28578389     0.380636
SRR28578388     1.179258
SRR28578387     0.088578
SRR28578386     -0.034430
SRR28578385     -0.354654
SRR28578384     -0.055777
SRR28578482     0.919460
SRR28578481     1.589098
SRR28578480     0.556462
SRR28578479     0.051680
SRR28578478     0.033078
SRR28578477     1.623619
SRR28578476     0.075092
SRR28578475     0.447291
SRR28578474     0.652891
SRR28578473     0.401198
SRR28578471     -0.091506
SRR28578470     0.718587
SRR28578469     0.633212
SRR28578468     1.740935
SRR28578467     0.373563
SRR28578466     0.260882
SRR28578465     0.237778
SRR28578464     -0.097856
SRR28578463     0.484402
SRR28578462     0.333819
SRR28578460     0.975734
SRR28578459     1.406464
SRR28578458     1.190055
SRR28578457     0.402485
SRR28578456     1.667156
SRR28578455     0.231174
SRR28578454     0.863157
SRR28578453     0.697110
SRR28578452     0.885809
SRR28578451     -0.603129
SRR28578449     -0.668723
SRR28578448     0.400409
SRR28578447     0.409803
SRR28578446     0.232150
SRR28578445     0.754964
SRR28578444     0.336216
SRR28578443     0.963353
SRR28578442     1.694846
SRR28578441     0.043868
SRR28578440     1.137920
SRR28578438     0.639858
SRR28578437     0.488518
SRR28578436     0.717449
SRR28578435     0.812639
SRR28578434     -0.273782
SRR28578433     0.506274
SRR28578432     0.979713
SRR28578431     0.149510
SRR28578430     0.727051
SRR28578429     1.808918
SRR28578427     1.758718
SRR28578426     1.924294
SRR28578425     0.370651
SRR28578424     -0.450223
SRR28578423     1.326266
SRR28578422     -0.028246
SRR28578383     0.231055
SRR28578382     0.318712
SRR28578381     1.451005
SRR28578380     0.548501
SRR28578378     2.014849
SRR28578377     0.317900
SRR28578376     0.359471
SRR28578375     -0.563661
SRR28578374     1.024085
SRR28578373     1.906276
